type	subtag	tag	preferredValue	suppressScript	macrolanguage	scope	deprecated	added	prefix	description
language	arj							2009-07-29		Arapaso
language	ark							2009-07-29		Arikapú
language	arl							2009-07-29		Arabela
language	arn							2005-10-16		Mapudungun | Mapuche
language	aro							2009-07-29		Araona
language	arp							2005-10-16		Arapaho
language	arq				ar			2009-07-29		Algerian Arabic
language	arr							2009-07-29		Karo (Brazil)
language	ars				ar			2009-07-29		Najdi Arabic
language	art					collection		2005-10-16		Artificial languages
language	aru							2009-07-29		Aruá (Amazonas State) | Arawá
language	arv							2009-07-29		Arbore
language	arw							2005-10-16		Arawak
language	arx							2009-07-29		Aruá (Rodonia State)
language	ary				ar			2009-07-29		Moroccan Arabic
language	arz				ar			2009-07-29		Egyptian Arabic
language	as			Beng				2005-10-16		Assamese
language	asa							2009-07-29		Asu (Tanzania)
language	asb							2009-07-29		Assiniboine | Nakoda Assiniboine
language	asc							2009-07-29		Casuarina Coast Asmat
language	asd		snz				2019-04-16	2009-07-29		Asas
language	ase							2009-07-29		American Sign Language
language	asf							2009-07-29		Auslan | Australian Sign Language
language	asg							2009-07-29		Cishingini
language	ash							2009-07-29		Abishira
language	asi							2009-07-29		Buruwai
language	asj							2009-07-29		Sari
language	ask							2009-07-29		Ashkun
language	asl							2009-07-29		Asilulu
language	asn							2009-07-29		Xingú Asuriní
language	aso							2009-07-29		Dano
language	asp							2009-07-29		Algerian Sign Language
language	asq							2009-07-29		Austrian Sign Language
language	asr							2009-07-29		Asuri
language	ass							2009-07-29		Ipulo
language	ast							2005-10-16		Asturian | Asturleonese | Bable | Leonese
language	asu							2009-07-29		Tocantins Asurini
language	asv							2009-07-29		Asoa
language	asw							2009-07-29		Australian Aborigines Sign Language
language	asx							2009-07-29		Muratayak
language	asy							2009-07-29		Yaosakor Asmat
language	asz							2009-07-29		As
language	ata							2009-07-29		Pele-Ata
language	atb							2009-07-29		Zaiwa
language	atc							2009-07-29		Atsahuaca
language	atd							2009-07-29		Ata Manobo
language	ate							2009-07-29		Atemble
language	atg							2009-07-29		Ivbie North-Okpela-Arhe
language	ath					collection		2005-10-16		Athapascan languages
language	ati							2009-07-29		Attié
language	atj							2009-07-29		Atikamekw | Nehirowimowin
language	atk							2009-07-29		Ati
language	atl							2009-07-29		Mt. Iraya Agta
language	atm							2009-07-29		Ata
language	atn							2009-07-29		Ashtiani
language	ato							2009-07-29		Atong (Cameroon)
language	atp							2009-07-29		Pudtol Atta
language	atq							2009-07-29		Aralle-Tabulahan
language	atr							2009-07-29		Waimiri-Atroari
language	ats							2009-07-29		Gros Ventre
language	att							2009-07-29		Pamplona Atta
language	atu							2009-07-29		Reel
language	atv							2009-07-29		Northern Altai
language	atw							2009-07-29		Atsugewi
language	atx							2009-07-29		Arutani
language	aty							2009-07-29		Aneityum
language	atz							2009-07-29		Arta
language	aua							2009-07-29		Asumboa
language	aub							2009-07-29		Alugu
language	auc							2009-07-29		Waorani
language	aud							2009-07-29		Anuta
language	aue		ktz				2015-02-12	2009-07-29		ǂKxʼauǁʼein
language	auf					collection		2009-07-29		Arauan languages
language	aug							2009-07-29		Aguna
language	auh							2009-07-29		Aushi
language	aui							2009-07-29		Anuki
language	auj							2009-07-29		Awjilah
language	auk							2009-07-29		Heyo
language	aul							2009-07-29		Aulua
language	aum							2009-07-29		Asu (Nigeria)
language	aun							2009-07-29		Molmo One
language	auo							2009-07-29		Auyokawa
language	aup							2009-07-29		Makayam
language	auq							2009-07-29		Anus | Korur
language	aur							2009-07-29		Aruek
language	aus					collection		2005-10-16		Australian languages
language	aut							2009-07-29		Austral
language	auu							2009-07-29		Auye
language	auw							2009-07-29		Awyi
language	aux							2009-07-29		Aurá
language	auy							2009-07-29		Awiyaana
language	auz				ar			2009-07-29		Uzbeki Arabic
language	av							2005-10-16		Avaric
language	avb							2009-07-29		Avau
language	avd							2009-07-29		Alviri-Vidari
language	avi							2009-07-29		Avikam
language	avk							2009-07-29		Kotava
language	avl				ar			2009-07-29		Eastern Egyptian Bedawi Arabic
language	avm							2012-08-12		Angkamuthi
language	avn							2009-07-29		Avatime
language	avo							2009-07-29		Agavotaguerra
language	avs							2009-07-29		Aushiri
language	avt							2009-07-29		Au
