scope	sourceId	predicateId	targetId
sense	oewn-abolish__2.41.00..	antonym	oewn-establish__2.41.00..
sense	oewn-abolish__2.41.00..	derivation	oewn-abolishable__5.00.00.destructible.00
sense	oewn-abolish__2.41.00..	derivation	oewn-abolishment__1.04.00..
sense	oewn-abolish__2.41.00..	derivation	oewn-abolition__1.04.00..
sense	oewn-abolish__2.41.00..	other	oewn-abolishment__1.04.00..
sense	oewn-abolish__2.41.00..	other	oewn-abolition__1.04.00..
sense	oewn-abolishable__5.00.00.destructible.00	derivation	oewn-abolish__2.41.00..
sense	oewn-abolishment__1.04.00..	derivation	oewn-abolish__2.41.00..
sense	oewn-abolition__1.04.00..	derivation	oewn-abolish__2.41.00..
sense	oewn-abolition__1.04.00..	derivation	oewn-abolitionary__3.01.00..
sense	oewn-abolitionary__3.01.00..	derivation	oewn-abolition__1.04.00..
sense	oewn-abolitionary__3.01.00..	pertainym	oewn-abolition__1.04.00..
sense	oewn-abolitionism__1.09.00..	derivation	oewn-abolitionist__1.18.00..
sense	oewn-abolitionist__1.18.00..	derivation	oewn-abolitionism__1.09.00..
sense	oewn-abomasal__3.01.00..	derivation	oewn-abomasum__1.05.00..
sense	oewn-abomasal__3.01.00..	pertainym	oewn-abomasum__1.05.00..
sense	oewn-abomasum__1.05.00..	derivation	oewn-abomasal__3.01.00..
sense	oewn-abominable__5.00.00.hateful.00	derivation	oewn-abominate__2.37.00..
sense	oewn-abominably__4.02.01..	pertainym	oewn-abominable__5.00.00.hateful.00
sense	oewn-abominate__2.37.00..	derivation	oewn-abominable__5.00.00.hateful.00
sense	oewn-abominate__2.37.00..	derivation	oewn-abomination__1.04.00..
sense	oewn-abominate__2.37.00..	derivation	oewn-abomination__1.12.00..
sense	oewn-abominate__2.37.00..	derivation	oewn-abomination__1.18.00..
sense	oewn-abominate__2.37.00..	derivation	oewn-abominator__1.18.00..
sense	oewn-abominate__2.37.00..	other	oewn-abomination__1.04.00..
sense	oewn-abominate__2.37.00..	other	oewn-abomination__1.12.00..
sense	oewn-abominate__2.37.00..	other	oewn-abomination__1.18.00..
sense	oewn-abominate__2.37.00..	other	oewn-abominator__1.18.00..
sense	oewn-abomination__1.04.00..	derivation	oewn-abominate__2.37.00..
sense	oewn-abomination__1.12.00..	derivation	oewn-abominate__2.37.00..
sense	oewn-abomination__1.18.00..	derivation	oewn-abominate__2.37.00..
sense	oewn-abominator__1.18.00..	derivation	oewn-abominate__2.37.00..
sense	oewn-aborad__4.02.00..	antonym	oewn-orad__4.02.00..
sense	oewn-aborad__4.02.00..	pertainym	oewn-aboral__3.00.00..
sense	oewn-aboral__3.00.00..	antonym	oewn-oral__3.00.00..
sense	oewn-aboriginal__1.18.01..	derivation	oewn-aboriginal__3.00.00..
sense	oewn-aboriginal__3.00.00..	derivation	oewn-aboriginal__1.18.01..
sense	oewn-aboriginal__3.00.00..	derivation	oewn-aborigine__1.18.00..
sense	oewn-aborigine__1.18.00..	derivation	oewn-aboriginal__3.00.00..
sense	oewn-abort__2.29.00..	derivation	oewn-abortion__1.04.00..
sense	oewn-abort__2.29.00..	other	oewn-abortion__1.04.00..
sense	oewn-abort__2.30.00..	derivation	oewn-abortion__1.11.00..
sense	oewn-abort__2.30.00..	derivation	oewn-abortive__5.00.00.unfruitful.00
sense	oewn-abort__2.30.00..	other	oewn-abortion__1.11.00..
sense	oewn-abortifacient__1.06.00..	derivation	oewn-abortifacient__5.00.00.causative.00
sense	oewn-abortifacient__5.00.00.causative.00	derivation	oewn-abortifacient__1.06.00..
sense	oewn-abortion__1.04.00..	derivation	oewn-abort__2.29.00..
sense	oewn-abortion__1.04.00..	derivation	oewn-abortionist__1.18.00..
sense	oewn-abortion__1.11.00..	derivation	oewn-abort__2.30.00..
sense	oewn-abortionist__1.18.00..	derivation	oewn-abortion__1.04.00..
sense	oewn-abortive__5.00.00.unfruitful.00	derivation	oewn-abort__2.30.00..
sense	oewn-abortively__4.02.00..	pertainym	oewn-abortive__5.00.00.unfruitful.00
